text,label
Scientists at NASA have confirmed the discovery of water on Mars using the Perseverance rover's instruments.,real
The World Health Organization reported that global vaccination rates have increased by 15% in the past year.,real
Federal Reserve announces interest rate decision following two-day policy meeting,real
Researchers discover new species of deep-sea fish in the Pacific Ocean during underwater expedition.,real
Breaking: Government signs international climate agreement to reduce carbon emissions by 2030,real
Local high school football team wins state championship in overtime thriller,real
Tech giant announces new smartphone with improved battery life and camera technology,real
United Nations condemns violence in conflict zone, calls for peaceful resolution,real
Stock market closes at record high following positive economic reports,real
Medical study shows regular exercise improves heart health and reduces disease risk,real
Climate scientists report 2023 as hottest year on record with rising global temperatures,real
International space station crew successfully completes spacewalk for repairs,real
Education department announces new funding for public schools in underprivileged areas,real
Archaeologists discover ancient artifacts during construction project in downtown area,real
Weather service warns of approaching storm system, advises residents to prepare,real
You won't believe what this celebrity did! You won't believe this shocking secret!,fake
SHOCKING: They don't want you to know the truth about what the government is hiding!,fake
Clickbait: 10 Things They Don't Want You To Know About This Secret Scandal!,fake
BREAKING: Secret exposed! What they are hiding from you will blow your mind!,fake
URGENT: You need to share this before they delete it! Wake up sheeple!,fake
This one trick will change everything! Doctors hate this secret remedy!,fake
Unverified conspiracy theory goes viral claiming moon landing was faked,fake
FAKE NEWS: This major news network caught spreading lies about election!,fake
SHOCKING DISCOVERY: Scientists reveal secret that could change history forever!,fake
Must share! This celebrity secret will absolutely shock you!,fake
They don't want you to know this one simple trick for wealth!,fake
HOAX ALERT: Viral message claims false health cure spreading online,fake
SECRET EXPOSED: What elite don't want you to know will change everything!,fake
Breaking: Fake news article spread through social media manipulates public opinion,fake
YOU WON'T BELIEVE THIS: Secret government program exposed by whistleblower!,fake
